Image Link,Name of movie,Year of release,Certificate,Runtime (min),Genre,Rating,MetaScore,Votes,Grosses,Description,Director,Stars
"https://m.media-amazon.com/images/M/MV5BNzc5OTA4NDgtMjAzZi00MjFhLTk4OWQtNDRkNmNjZDNlN2FjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR6,0,140,209_AL_.jpg",Les rivières pourpres 2 - Les anges de l'apocalypse,2004,R,100,"Action, Crime, Mystery",5.9,^^^^^^,"21,377",*****,Pierre Niemans faces the threat of the apocalypse while investigating a series of ritual murders.,Olivier Dahan,"Jean Reno, Benoît Magimel, Christopher Lee, Camille Natta"
"https://m.media-amazon.com/images/M/MV5BMzc2NmYxNDEtZGNlMy00Y2VkLTllN2MtMmNlODRhYmJjZTMzXkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_UY209_CR1,0,140,209_AL_.jpg",Beowulf & Grendel,2005,R,104,"Action, Adventure, Drama",5.8,53,"18,391",$0.07M,"In Denmark, during the 6th century, Danish king Hrothgar and his warriors kill a troll whose son, Grendel, vows revenge.",Sturla Gunnarsson,"Hringur Ingvarsson, Spencer Wilding, Stellan Skarsgård, Ingvar Sigurdsson"
"https://m.media-amazon.com/images/M/MV5BMTg0NzY0MjI0NF5BMl5BanBnXkFtZTgwMjcxMjU5MzE@._V1_UY209_CR3,0,140,209_AL_.jpg",La isla mínima,2014,N/A,105,"Action, Crime, Mystery",7.2,^^^^^^,"35,482",*****,Two cops lost in the deep south of Spain. One serial killer to catch. A lot of secrets and lies to disclose.,Alberto Rodríguez,"Javier Gutiérrez, Raúl Arévalo, María Varod, Perico Cervantes"
"https://m.media-amazon.com/images/M/MV5BNjFhMTU1YzgtMDk3ZC00YzYzLTljMjMtMTdjNjk3ZTFiODQ1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX140_CR0,0,140,209_AL_.jpg",Thunderbolt and Lightfoot,1974,N/A,115,"Action, Comedy, Crime",7,62,"27,426",$25.00M,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organize a daring new heist.",Michael Cimino,"Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis"
"https://m.media-amazon.com/images/M/MV5BNmY5MWJmNmUtNTVjNC00MWZhLTk0MjYtZjAwOTVjMTkyMDI5XkEyXkFqcGdeQXVyMTA5ODk3NA@@._V1_UY209_CR4,0,140,209_AL_.jpg",Meet the Feebles,1989,Not Rated,97,"Comedy, Music, Musical",6.6,^^^^^^,"21,866",*****,Multiple animals and insects experience the sleazier side of show business while working on a variety show.,Peter Jackson,"Danny Mulheron, Donna Akersten, Stuart Devenie, Mark Hadlow"
"https://m.media-amazon.com/images/M/MV5BMmNiNzRiMDAtNjg0Yi00NGM3LWFiMjItOTQ0ZjNkYTE4MGM5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX140_CR0,0,140,209_AL_.jpg",Quick Change,1990,UA,89,"Comedy, Crime",6.8,56,"21,709",$15.26M,"Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible.","Directors:Howard Franklin, Bill Murray","Bill Murray, Geena Davis, Randy Quaid, Dale Grand"
"https://m.media-amazon.com/images/M/MV5BMTU5NDM5ODEyM15BMl5BanBnXkFtZTYwMTcyMTY3._V1_UY209_CR1,0,140,209_AL_.jpg",The Big Bounce,2004,PG-13,88,"Comedy, Crime",4.9,42,"18,626",$6.47M,"A small-time con artist and a Hawaiian real estate developer's mischevious, enterprising mistress team up for a potential $200,000 score.",George Armitage,"Owen Wilson, Morgan Freeman, Gary Sinise, Sara Foster"
"https://m.media-amazon.com/images/M/MV5BMTk3NTk3MzU5N15BMl5BanBnXkFtZTgwNjIwMDcyMTI@._V1_UY209_CR0,0,140,209_AL_.jpg",Basquiat,1996,R,107,"Biography, Drama",6.9,65,"21,490",$2.96M,"The brief life of Jean Michel Basquiat, a world renowned New York street artist struggling with fame, drugs and his identity.",Julian Schnabel,"Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani"
"https://m.media-amazon.com/images/M/MV5BY2Y5NDU2MmYtOGZiYy00MTAyLTgyYTctZGU2YjQ0YzQ3NDllXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_UX140_CR0,0,140,209_AL_.jpg",Brassed Off,1996,R,108,"Comedy, Drama, Music",7.2,60,"20,580",$2.56M,"The coal mine in a northern English village may be closing, which would also mean the end of the miners' brass band.",Mark Herman,"Pete Postlethwaite, Tara Fitzgerald, Ewan McGregor, Stephen Tompkinson"
"https://m.media-amazon.com/images/M/MV5BODllYWFkZjEtZTExOS00YjhjLWIwZWEtMjNkMzBmZjE4NWJmXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UX140_CR0,0,140,209_AL_.jpg",Nancy Drew,2007,U,99,"Comedy, Crime, Family",5.9,53,"21,208",$25.61M,"Teen detective Nancy Drew accompanies her father on a business trip to Los Angeles, where she happens upon clues to a murder mystery involving a movie star.",Andrew Fleming,"Emma Roberts, Tate Donovan, Max Thieriot, Craig Gellis"
"https://m.media-amazon.com/images/M/MV5BMTU5MjMyODcxMF5BMl5BanBnXkFtZTgwMzIwMDM2NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",Little Boy,2015,PG-13,106,"Drama, History, War",7.3,30,"23,852",$6.42M,An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.,Alejandro Monteverde,"Jakob Salvati, Emily Watson, David Henrie, Michael Rapaport"
